id,name,address,city,state,zip,phone,LAT,LON,hasSpecialties,ADDICTION MEDICINE,ADVANCED HEART FAILURE AND TRANSPLANT CARDIOLOGY,ALLERGY/IMMUNOLOGY,ANESTHESIOLOGY,ANESTHESIOLOGY ASSISTANT,AUDIOLOGIST,CARDIAC ELECTROPHYSIOLOGY,CARDIAC SURGERY,CARDIOVASCULAR DISEASE (CARDIOLOGY),CERTIFIED NURSE MIDWIFE,CERTIFIED REGISTERED NURSE ANESTHETIST,CHIROPRACTIC,CLINICAL NURSE SPECIALIST,CLINICAL PSYCHOLOGIST,CLINICAL SOCIAL WORKER,COLORECTAL SURGERY (PROCTOLOGY),CRITICAL CARE (INTENSIVISTS),DENTIST,DERMATOLOGY,DIAGNOSTIC RADIOLOGY,EMERGENCY MEDICINE,ENDOCRINOLOGY,FAMILY PRACTICE,GASTROENTEROLOGY,GENERAL PRACTICE,GENERAL SURGERY,GERIATRIC MEDICINE,GERIATRIC PSYCHIATRY,GYNECOLOGICAL ONCOLOGY,HAND SURGERY,HEMATOLOGY,HEMATOLOGY/ONCOLOGY,HEMATOPOIETIC CELL TRANSPLANTATION AND CELLULAR TH,HOSPICE/PALLIATIVE CARE,HOSPITALIST,INFECTIOUS DISEASE,INTERNAL MEDICINE,INTERVENTIONAL CARDIOLOGY,INTERVENTIONAL PAIN MANAGEMENT,INTERVENTIONAL RADIOLOGY,MAXILLOFACIAL SURGERY,MEDICAL ONCOLOGY,NEPHROLOGY,NEUROLOGY,NEUROPSYCHIATRY,NEUROSURGERY,NUCLEAR MEDICINE,NURSE PRACTITIONER,OBSTETRICS/GYNECOLOGY,OCCUPATIONAL THERAPY,OPHTHALMOLOGY,OPTOMETRY,ORAL SURGERY,ORTHOPEDIC SURGERY,OSTEOPATHIC MANIPULATIVE MEDICINE,OTOLARYNGOLOGY,PAIN MANAGEMENT,PATHOLOGY,PEDIATRIC MEDICINE,PERIPHERAL VASCULAR DISEASE,PHYSICAL MEDICINE AND REHABILITATION,PHYSICAL THERAPY,PHYSICIAN ASSISTANT,PLASTIC AND RECONSTRUCTIVE SURGERY,PODIATRY,PREVENTATIVE MEDICINE,PSYCHIATRY,PULMONARY DISEASE,RADIATION ONCOLOGY,REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL,"RHEUMATOLOGY,",SLEEP MEDICINE,SPEECH LANGUAGE PATHOLOGIST,SPORTS MEDICINE,SURGICAL ONCOLOGY,THORACIC SURGERY,UNDEFINED PHYSICIAN TYPE (SPECIFY),"UROLOGY,",VASCULAR SURGERY,id
20,Angliss Hospital,Albert Street,Upper Ferntree Gully,Vic,3156,1300 342 255,-37.898663,145.314166,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30019
21,Armadale-Kelmscott Memorial Hospital,3056 Albany Highway,Armadale,WA,6112,08 9391 2000,-32.133212,116.020023,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30020
22,Armidale Hospital,226 Rusden Street,Armidale,NSW,2350,02 6776 9500,-30.512726,151.655629,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30021
23,Armidale Private Hospital,Rusden Street,Armidale,NSW,2350,02 6771 4000,-30.512719,151.654565,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30022
24,Ashford Hospital,55 Anzac Highway,Ashford,SA,5035,08 8375 5222,-34.948142,138.576725,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30023
25,Atherton Hospital,Corner of Louise and Jack Streets,Atherton,Qld,4883,07 4091 0211,-17.266635,145.483177,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30024
26,Attadale Rehabilitation Hospital,21 Hislop Road,Attadale,WA,6156,08 9330 1000,-32.029729,115.810669,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30025
27,Auburn Hospital,18-20 Hargrave Road,Auburn,NSW,2144,02 8759 3000,-33.859867,151.033204,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30026
28,Augathella Hospital,Cavanagh Street,Augathella,Qld,4477,07 4656 7100,-25.796104,146.590919,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30027
29,Augusta Hospital,Donovan Street,Augusta,WA,6290,08 9758 3222,-34.305814,115.157983,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30028
30,Austin Hospital [Heidelberg],145 Studley Road,Heidelberg,Vic,3084,03 9496 5000,-37.756355,145.060236,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30029
31,Ayr Hospital,2 Chippendale Street,Ayr,Qld,4807,07 4783 0855,-19.564066,147.408821,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30030
32,Babinda Hospital,128 Munro Street,Babinda,Qld,4861,07 4067 8200,-17.343079,145.918908,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30031
33,Baillie Henderson Hospital,Corner of Hogg and Tor Streets,Toowoomba,Qld,4350,07 4699 8888,-27.524371,151.936283,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30032
34,Bairnsdale Regional Health Service,122 Day Street,Bairnsdale,Vic,3875,03 5150 3333,-37.830814,147.607905,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30033
35,Balaklava Soldiers' Memorial District Hospital,16 War Memorial Drive,Balaklava,SA,5461,08 8862 1400,-34.139594,138.419596,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30034
36,Ballarat Day Procedure Centre,1119-1123 Howitt Street,Wendouree,Vic,3350,03 5338 2666,-37.540799,143.83214,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30035
37,Ballarat Health Services [Base Campus],1 Dummond Street North,Ballarat Central,Vic,3350,03 5320 4000,-37.559658,143.847041,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30036
38,Ballarat Health Services [Queen Elizabeth Campus],102 Ascot Street,Ballarat,Vic,3350,03 5320 3700,-37.564276,143.843264,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30037
39,Ballina Day Surgery,"Suite 6, 46 Tamar Street",Ballina,NSW,2478,02 6681 9999,-28.870711,153.563241,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30038
40,Ballina Hospital,78-92 Cherry Street,Ballina,NSW,2478,02 6686 2111,-28.863525,153.564013,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30039
41,Balmain Hospital,29 Booth Street,Balmain,NSW,2041,02 9395 2111,-33.859469,151.181469,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30040
42,Balranald Multi Purpose Service,41-43 Court Street,Balranald,NSW,2715,03 5071 9800,-34.644549,143.568413,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30041
43,Bamaga Hospital,Sagaukaz Street,Bamaga,Qld,4876,07 4069 3166,-10.893996,142.385131,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30042
44,Bankstown Lidcombe Hospital,68 Eldridge Road,Bankstown,NSW,2200,02 9722 8000,-33.933088,151.020823,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30043
45,Baradine Multi Purpose Service,5-9 Macquarie Street,Baradine,NSW,2396,02 6843 4100,-30.945316,149.066189,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30044
46,Baralaba Hospital,Stopford Street,Baralaba,Qld,4702,07 4998 2800,-24.184268,149.809586,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30045
47,Barcaldine Hospital,Oak Street,Barcaldine,Qld,4725,07 4650 4000,-23.553316,145.293674,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30046
48,Barham Hospital,70 Punt Road,Barham,NSW,2732,03 5451 1000,-35.623823,144.133479,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30047
49,Baringa Private Hospital,31 Mackays Road,Coffs Harbour,NSW,2450,02 6659 4444,-30.278813,153.102893,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30048
50,Barmera Health Service,Hawdon Street,Barmera,SA,5345,08 8588 0400,-34.249146,140.471706,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30049
51,Barraba Multi Purpose Service,Edward Street,Barraba,NSW,2347,02 6782 2500,-30.382482,150.605778,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30050
52,Bass Coast Regional Health,235 Graham Street,Wonthaggi,Vic,3995,03 5671 3333,-38.608747,145.580906,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30051
53,Batemans Bay Hospital,7 Pacific Street,Batemans Bay,NSW,2536,02 4475 1500,-35.714055,150.182375,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30052
54,Bathurst Health Service,361-365 Howick Street,Bathurst,NSW,2795,02 6330 5311,-33.406512,149.572699,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30053
55,Bathurst Private Hospital,Gorman's Hill Road,Bathurst,NSW,2795,02 6331 7766,-33.435215,149.589242,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30054
56,Batlow/Adelong Multi Purpose Service,61-81 Pioneer Street,Batlow,NSW,2730,02 6941 4333,-35.521951,148.147891,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30055
57,Beaconsfield District Health Service,13 Bolton Street,Beaconsfield,Tas,7270,03 6702 6060,-41.193478,146.806719,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30056
58,Beaudesert Hospital,64 Tina Street,Beaudesert,Qld,4285,07 5541 9111,-27.984869,153.002536,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30057
59,Beaufort & Skipton Health Service [Beaufort],28 Havelock Street,Beaufort,Vic,3373,03 5349 1600,-37.431028,143.382284,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30058
60,Beaufort & Skipton Health Service [Skipton],Blake Street,Skipton,Vic,3361,03 5340 1100,-37.683998,143.367547,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30059
61,Beechworth Health Service,52 Sydney Road,Beechworth,Vic,3747,03 5728 0200,-36.349359,146.690739,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30060
62,Bega Valley Private Hospital,31 Parker Street,Bega,NSW,2550,02 6492 4144,-36.673617,149.845812,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30061
63,Beleura Private Hospital,925 Nepean Highway,Mornington,Vic,3931,03 5976 0888,-38.225484,145.049136,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30062
64,Bellbird Private Hospital,198 Canterbury Road,Blackburn South,Vic,3130,03 9845 2333,-37.833073,145.156018,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30063
65,Bellinger River District Hospital,43 Church Street,Bellingen,NSW,2454,02 6659 5800,-30.457256,152.893209,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30064
66,Belmont Hospital,16 Croudace Bay Road,Belmont,NSW,2280,02 4923 2000,-33.024631,151.648181,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30065
67,Benalla & District Memorial Hospital,45-53 Coster Street,Benalla,Vic,3672,03 5760 2222,-36.555239,145.994675,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30066
68,Bendigo Health Care Group [Anne Caudle],100 Barnard Street,Bendigo,Vic,3550,03 5454 6000,-36.750919,144.280399,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30067
69,Bentley Hospital,18-56 Mills Street,Bentley,WA,6102,08 9416 3666,-32.005332,115.927922,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30068
70,Berkeley Vale Private Hospital,Lorraine Avenue,Berkeley Vale,NSW,2261,02 4389 9100,-33.337061,151.432784,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30069
71,Berrigan Multi Purpose Service,137-143 Memorial Place,Berrigan,NSW,2712,03 5888 5300,-35.662312,145.813035,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30070
72,Berwick Eye and Surgicentre,22 Langmore Lane,Berwick,Vic,3806,03 9768 9210,-38.033667,145.346487,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30071
73,Bethesda Hospital,25 Queenslea Drive,Claremont,WA,6010,08 9340 6300,-31.986967,115.778484,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30072
74,Beverley Hospital,Sewell Street,Beverley,WA,6304,08 9646 3200,-32.102825,116.922962,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30073
75,Biggenden Hospital,Alice Street,Biggenden,Qld,4621,07 4127 6400,-25.506406,152.051099,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30074
76,Biloela Hospital,2 Hospital Road,Biloela,Qld,4715,07 4992 7000,-24.395813,150.517491,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30075
77,Bingara Multi Purpose Service,Keera Street,Bingara,NSW,2404,02 6728 0100,-29.864055,150.579235,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30076
78,Blackall Hospital,Shamrock Street,Blackall,Qld,4472,07 4650 7700,-24.422705,145.449349,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30077
79,Blacktown Hospital,Blacktown Road,Blacktown,NSW,2148,02 9881 8000,-33.775552,150.917537,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30078
80,Blackwater Hospital,Mackenzie Street,Blackwater,Qld,4717,07 4980 1800,-23.571873,148.878219,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30079
