_,id,name,address,city,state,zip,country,phone,type,ownership,emergency,quality,LAT,LON
59,59,Beaufort & Skipton Health Service [Beaufort],28 Havelock Street,Beaufort,Vic,3373,Australia,03 5349 1600,Public,,No,,-37.431028,143.382284
60,60,Beaufort & Skipton Health Service [Skipton],Blake Street,Skipton,Vic,3361,Australia,03 5340 1100,Public,,No,,-37.683998,143.367547
61,61,Beechworth Health Service,52 Sydney Road,Beechworth,Vic,3747,Australia,03 5728 0200,Public,,No,,-36.349359,146.690739
62,62,Bega Valley Private Hospital,31 Parker Street,Bega,NSW,2550,Australia,02 6492 4144,Private,,No,,-36.673617,149.845812
63,63,Beleura Private Hospital,925 Nepean Highway,Mornington,Vic,3931,Australia,03 5976 0888,Private,,No,,-38.225484,145.049136
64,64,Bellbird Private Hospital,198 Canterbury Road,Blackburn South,Vic,3130,Australia,03 9845 2333,Private,,No,,-37.833073,145.156018
65,65,Bellinger River District Hospital,43 Church Street,Bellingen,NSW,2454,Australia,02 6659 5800,Public,,Yes,,-30.457256,152.893209
66,66,Belmont Hospital,16 Croudace Bay Road,Belmont,NSW,2280,Australia,02 4923 2000,Public,,Yes,,-33.024631,151.648181
67,67,Benalla & District Memorial Hospital,45-53 Coster Street,Benalla,Vic,3672,Australia,03 5760 2222,Public,,No,,-36.555239,145.994675
68,68,Bendigo Health Care Group [Anne Caudle],100 Barnard Street,Bendigo,Vic,3550,Australia,03 5454 6000,Public,,No,,-36.750919,144.280399
69,69,Bentley Hospital,18-56 Mills Street,Bentley,WA,6102,Australia,08 9416 3666,Public,,No,,-32.005332,115.927922
70,70,Berkeley Vale Private Hospital,Lorraine Avenue,Berkeley Vale,NSW,2261,Australia,02 4389 9100,Private,,No,,-33.337061,151.432784
71,71,Berrigan Multi Purpose Service,137-143 Memorial Place,Berrigan,NSW,2712,Australia,03 5888 5300,Public,,Yes,,-35.662312,145.813035
72,72,Berwick Eye and Surgicentre,22 Langmore Lane,Berwick,Vic,3806,Australia,03 9768 9210,Private,,No,,-38.033667,145.346487
73,73,Bethesda Hospital,25 Queenslea Drive,Claremont,WA,6010,Australia,08 9340 6300,Private,,No,,-31.986967,115.778484
74,74,Beverley Hospital,Sewell Street,Beverley,WA,6304,Australia,08 9646 3200,Public,,No,,-32.102825,116.922962
75,75,Biggenden Hospital,Alice Street,Biggenden,Qld,4621,Australia,07 4127 6400,Public,,No,,-25.506406,152.051099
76,76,Biloela Hospital,2 Hospital Road,Biloela,Qld,4715,Australia,07 4992 7000,Public,,No,,-24.395813,150.517491
77,77,Bingara Multi Purpose Service,Keera Street,Bingara,NSW,2404,Australia,02 6728 0100,Public,,Yes,,-29.864055,150.579235
78,78,Blackall Hospital,Shamrock Street,Blackall,Qld,4472,Australia,07 4650 7700,Public,,No,,-24.422705,145.449349
79,79,Blacktown Hospital,Blacktown Road,Blacktown,NSW,2148,Australia,02 9881 8000,Public,,Yes,,-33.775552,150.917537
80,80,Blackwater Hospital,Mackenzie Street,Blackwater,Qld,4717,Australia,07 4980 1800,Public,,No,,-23.571873,148.878219
81,81,Blayney Multi Purpose Service,3 Osman Street,Blayney,NSW,2799,Australia,02 6368 9000,Public,,Yes,,-33.537728,149.248988
82,82,Blue Mountains Hospital,Lot 3 Woodlands Road,Katoomba,NSW,2780,Australia,02 4784 6500,Public,,Yes,,-33.705329,150.32111
83,83,Boddington Hospital,46-53 Hotham Avenue,Boddington,WA,6390,Australia,08 9883 4444,Public,,No,,-32.803715,116.475774
84,84,Boggabri Multi Purpose Service,3 Wee Waa Street,Boggabri,NSW,2382,Australia,02 6749 7000,Public,,Yes,,-30.711502,150.040014
85,85,Bombala Multi Purpose Service,126-128 Wellington Street,Bombala,NSW,2632,Australia,02 6458 5777,Public,,Yes,,-36.917513,149.235372
86,86,Bonalbo Hospital,Clarence Way,Bonalbo,NSW,2469,Australia,02 6665 1203,Public,,No,,-28.733777,152.622789
87,87,Booleroo Centre District Hospital and Health Services,Stephens Street,Booleroo Centre,SA,5482,Australia,08 8667 2211,Public,,No,,-32.877911,138.350958
88,88,Boonah Hospital,11-17 Leonard Street,Boonah,Qld,4310,Australia,07 5463 3300,Public,,No,,-27.999128,152.678943
89,89,Boorowa Multi Purpose Service,62-80 Dry Street,Boorowa,NSW,2586,Australia,02 6385 3004,Public,,Yes,,-34.442822,148.727073
90,90,Boort District Health,31 Kiniry Street,Boort,Vic,3537,Australia,03 5451 5200,Public,,No,,-36.111703,143.727285
91,91,Bordertown Memorial Hospital,23 South Terrace,Bordertown,SA,5268,Australia,08 8752 9000,Public,,No,,-36.312133,140.766438
92,92,Bourke Multi Purpose Service,26 Tarcoon Street,Bourke,NSW,2840,Australia,02 6870 8888,Public,,Yes,,-30.092823,145.947983
93,93,Bourke Street Health Service,234 Bourke Street,Goulburn,NSW,2580,Australia,02 4823 7800,Public,,No,,-34.748721,149.719321
94,94,Bowen Hospital,Gregory Street,Bowen,Qld,4805,Australia,07 4786 8222,Public,,No,,-20.007104,148.240327
95,95,Bowral Hospital,Lot 3 Mona Road,Bowral,NSW,2576,Australia,02 4861 0200,Public,,Yes,,-34.485043,150.423796
96,96,Box Hill Hospital,8 Arnold Street,Box Hill,Vic,3128,Australia,1300 342 255,Public,,Yes,,-37.813682,145.119094
97,97,Boyup Brook Soldiers Memorial Hospital,Hospital Road,Boyup Brook,WA,6244,Australia,08 9765 0222,Public,,No,,-33.839231,116.390639
98,98,Braeside Hospital,340 Prairie Vale Road,Prairiewood,NSW,2176,Australia,02 9616 8600,Public,,No,,-33.861917,150.902192
99,99,Braidwood Multi Purpose Service,77 Monkittee Street,Braidwood,NSW,2622,Australia,02 4842 2566,Public,,Yes,,-35.443216,149.805302
100,100,Brewarrina Multi Purpose Service,56 Doyle Street,Brewarrina,NSW,2839,Australia,02 6830 5000,Public,,Yes,,-29.961627,146.863796
101,101,Bridgetown Hospital,16-18 Peninsula Road,Bridgetown,WA,6255,Australia,08 9782 1222,Public,,No,,-33.951681,116.132183
102,102,Brindabella Endoscopy and Day Surgery Centre,"Suite 7, 5 Dann Close",Garran,ACT,2605,Australia,02 6282 7788,Private,,No,,-35.3495,149.1031
103,103,Brisbane Endoscopy Services,Suites 16-18/259 McCullough Street,Sunnybank,Qld,4109,Australia,07 3344 1844,Private,,No,,-27.572418,153.061985
104,104,Brisbane Private Hospital,259 Wickham Terrace,Brisbane,Qld,4000,Australia,07 3834 6111,Private,,No,,-27.464756,153.022642
105,105,Brisbane Waters Private Hospital,21 Vidler Avenue,Woy Woy,NSW,2256,Australia,02 4341 9522,Private,,No,,-33.495233,151.321708
106,106,Broadmeadows Health Service,35 Johnstone Street,Broadmeadows,Vic,3047,Australia,03 8345 5000,Public,,No,,-37.684321,144.913106
107,107,Broken Hill Hospital,176 Thomas Street,Broken Hill,NSW,2880,Australia,08 8080 1333,Public,,Yes,,-31.947609,141.454703
108,108,Broome Hospital,Robinson Street,Broome,WA,6725,Australia,08 9194 2222,Public,,Yes,,-17.960975,122.236289
109,109,Bruce Rock Memorial Hospital,35 Dunstall Street,Bruce Rock,WA,6418,Australia,08 9061 1311,Public,,No,,-31.873038,118.146414
110,110,Buderim Gastroenterology Centre,"Suite 5, 102 Wises Road",Maroochydore,Qld,4558,Australia,07 5475 4464,Private,,No,,-26.671731,153.084944
111,111,Buderim Private Hospital,12 Elsa Wilson Drive,Buderim,Qld,4556,Australia,07 5430 3303,Private,,No,,-26.683988,153.092895
112,112,Bulahdelah Hospital,Richmond Street,Bulahdelah,NSW,2423,Australia,02 4987 9900,Public,,Yes,,-32.403949,152.210029
113,113,Bulli Hospital,Hospital Road,Bulli,NSW,2516,Australia,02 4284 4344,Public,,Yes,,-34.336667,150.907344
114,114,Bunbury Hospital,Corner of Robertson Drive and Bussell Highway,Bunbury,WA,6230,Australia,08 9722 1000,Public,,Yes,,-33.366986,115.648183
115,115,Bundaberg Base Hospital,Bourbong Street,Bundaberg,Qld,4670,Australia,07 4150 2222,Public,,Yes,,-24.868877,152.336157
116,116,Bundoora Extended Care Centre,1231 Plenty Road,Bundoora,Vic,3083,Australia,03 9495 3100,Public,,No,,-37.701124,145.055569
117,117,Burnside War Memorial Hospital,120 Kensington Road,Toorak Gardens,SA,5065,Australia,08 8202 7222,Private,,No,,-34.927126,138.638878
118,118,Burra Hospital,46 Commercial Street,Burra,SA,5417,Australia,08 8892 2300,Public,,No,,-33.685486,138.934577
119,119,Busselton Health Campus,Mill Road,Busselton,WA,6280,Australia,08 9753 6000,Public,,Yes,,-33.654351,115.319581
120,120,Byron Central Hospital,54 Ewingsdale Road,Ewingsdale,NSW,2481,Australia,02 6639 9400,Public,,Yes,,-28.637365,153.555898
121,121,Caboolture Hospital,McKean Street,Caboolture,Qld,4510,Australia,07 5433 8888,Public,,Yes,,-27.080776,152.963623
122,122,Caboolture Private Hospital,McKean Street,Caboolture,Qld,4510,Australia,07 5495 9400,Private,,No,,-27.080318,152.963628
123,123,Cabrini Brighton,243 New Street,Brighton,Vic,3186,Australia,03 9508 8777,Private,,No,,-37.91165,144.991572
124,124,Cabrini Health Elsternwick Rehabilitation - Glenhuntly Rd,494 Glenhuntly Road,Elsternwick,Vic,3185,Australia,03 9508 5200,Private,,No,,-37.88543,145.009328
125,125,Cabrini Health Elsternwick Rehabilitation - Hopetoun,2-6 Hopetoun Street,Elsternwick,Vic,3185,Australia,03 9508 5100,Private,,No,,-37.884778,145.01039
126,126,Cabrini Malvern,183 Wattletree Road,Malvern,Vic,3144,Australia,03 9508 1222,Private,,No,,-37.861641,145.0335
127,127,Cabrini Prahran,646 High Street,Prahran,Vic,3181,Australia,03 95081000,Private,,No,,-37.854034,145.009017
128,128,Cairns Day Surgery,156-160 Grafton Street,Cairns,Qld,4870,Australia,07 4051 5454,Private,,No,,-16.918973,145.771955
129,129,Cairns Hospital,The Esplanade,Cairns,Qld,4870,Australia,07 4226 0000,Public,,Yes,,-16.912537,145.768522
130,130,Cairns Private Hospital,1 Upward Street,Cairns,Qld,4870,Australia,07 4052 5200,Private,,No,,-16.918854,145.772282
131,131,Caloundra Hospital,West Terrace,Caloundra,Qld,4551,Australia,07 5436 8500,Public,,No,,-26.800582,153.119759
132,132,Caloundra Private Clinic,96 Beerburrum Street,Caloundra,Qld,4551,Australia,07 5491 1522,Private,,No,,-26.782379,153.125534
133,133,Calvary Central Districts Hospital,25-37 Jarvis Road,Elizabeth Vale,SA,5112,Australia,08 8250 4111,Private,,No,,-34.75542,138.656221
134,134,Calvary Health Care Bethlehem,152 Como Parade West,Parkdale,Vic,3195,Australia,03 9596 2853,Public,,No,,-37.896962,145.013415
135,135,Calvary Health Care Riverina,Hardy Avenue,Wagga Wagga,NSW,2650,Australia,02 6925 3055,Private,,No,,-35.118702,147.352811
136,136,Calvary Health Care Tasmania - Lenah Valley Campus,49 Augusta Road,Lenah Valley,Tas,7008,Australia,03 6278 5333,Private,,No,,-42.866099,147.303614
137,137,Calvary Health Care Tasmania - St John's Campus,30 Cascade Road,South Hobart,Tas,7004,Australia,03 6323 7444,Private,,No,,-42.895314,147.305975
138,138,Calvary Health Care Tasmania - St Luke's Campus,24 Lyttleton Street,Launceston,Tas,7250,Australia,03 6335 3333,Private,,No,,-41.433895,147.149521
139,139,Calvary Health Care Tasmania - St Vincent's Campus,5 Frederick Street,Launceston,Tas,7250,Australia,03 6332 4999,Private,,No,,-41.441013,147.141308
140,140,Calvary Hospital,91-101 Rocky Point Road,Kogarah,NSW,2217,Australia,02 9553 3111,Public,,No,,-33.976132,151.136206
141,141,Calvary John James Hospital,173 Strickland Crescent,Deakin,ACT,2600,Australia,02 6281 8100,Private,,No,,-35.319869,149.095662
142,142,Calvary Mater Newcastle Hospital,20 Edith Street,Waratah,NSW,2298,Australia,02 4921 1211,Public,,Yes,,-32.899371,151.720858
143,143,Calvary North Adelaide Hospital,89 Strangways Terrace,Nth Adelaide,SA,5006,Australia,08 8239 9100,Private,,No,,-34.910003,138.589095
144,144,Calvary Private Hospital Bruce,Corner of Belconnen Way and Haydon Drive,Bruce,ACT,2617,Australia,02 6201 6363,Private,,No,,-35.252882,149.088646
145,145,Calvary Public Hospital,Haydon Drive,Bruce,ACT,2617,Australia,02 6201 6111,Public,,Yes,,-35.253321,149.089654
146,146,Calvary Rehabilitation Hospital,18 North East Road,Walkerville,SA,5081,Australia,08 8168 5700,Private,,No,,-34.891739,138.611481
147,147,Calvary Wakefield Hospital,300 Wakefield Street,Adelaide,SA,5000,Australia,08 8405 3333,Private,,No,,-34.927689,138.611154
148,148,Camden Hospital,65 Menangle Road,Camden,NSW,2570,Australia,02 4634 3000,Public,,Yes,,-34.062702,150.693297
149,149,Campbell Town Multi Purpose Service,70 High Street,Campbell Town,Tas,7210,Australia,03 6774 8000,Public,,No,,-41.926339,147.493107
150,150,Campbelltown Hospital,Therry Road,Campbelltown,NSW,2560,Australia,02 4634 3000,Public,,Yes,,-34.077651,150.806321
151,151,Campbelltown Private Hospital,42 Parkside Crescent (Corner of Hyde Street),Campbelltown,NSW,2560,Australia,02 4621 9111,Private,,No,,-34.075607,150.804948
152,152,Canberra Imaging Group Angiography/Interventional Suite,173 Strickland Cresent,Deakin,ACT,2600,Australia,02 6203 2092,Private,,No,,-35.318557,149.096004
153,153,Canossa Private Hospital,169 Seventeen Mile Rocks Road,Oxley,Qld,4075,Australia,07 3717 5555,Private,,No,,-27.554703,152.963716
154,154,Canowindra Hospital,Browns Avenue,Canowindra,NSW,2804,Australia,02 6340 3033,Public,,Yes,,-33.557204,148.676576
155,155,Canterbury Hospital,575 Canterbury Road,Campsie,NSW,2194,Australia,02 9787 0000,Public,,Yes,,-33.919592,151.098275
156,156,Capricorn Coast Hospital,8 Hoskyn Drive,Yeppoon,Qld,4703,Australia,07 4913 3000,Public,,No,,-23.143888,150.734519
157,157,Caritas Christi Hospice [Kew],104 Studley Park Road,Kew,Vic,3101,Australia,03 9231 5000,Public,,No,,-37.804706,145.015557
158,158,Carnarvon Hospital,Cleaver Street,Carnarvon,WA,6701,Australia,08 9941 0555,Public,,No,,-24.886592,113.658993
159,159,Casey Hospital,52 Kangan Drive,Berwick,Vic,3806,Australia,03 8768 1200,Public,,Yes,,-38.045325,145.347181
160,160,Casino Hospital,Hotham Street,Casino,NSW,2470,Australia,02 6662 2111,Public,,Yes,,-28.859839,153.035827
161,161,Casterton Memorial Hospital,63-69 Russell Street,Casterton,Vic,3311,Australia,03 5554 2555,Public,,No,,-37.589989,141.392283
162,162,Castle Hill Day Surgery,72-74 Cecil Avenue,Castle Hill,NSW,2154,Australia,02 8850 0500,Private,,No,,-33.73507,151.004099
163,163,Castlecrag Private Hospital,150 Edinburgh Road,Castlecrag,NSW,2068,Australia,02 9935 0200,Private,,No,,-33.801822,151.217045
164,164,Castlemaine Health,142 Cornish Street,Castlemaine,Vic,3450,Australia,03 5471 1555,Public,,No,,-37.052539,144.212315
165,165,Caulfield Hospital,260-294 Kooyong Road,Caulfield,Vic,3162,Australia,03 9076 6000,Public,,No,,-37.882707,145.016892
166,166,Ceduna District Health Service,3 Eyre Highway,Ceduna,SA,5690,Australia,08 8626 2110,Public,,No,,-32.119099,133.672317
167,167,Central Coast Day Hospital,"Suite 1, Fountain Corporate, 2 Ilya Avenue",Erina,NSW,2250,Australia,02 4367 3880,Private,,No,,-33.439692,151.384354
168,168,Central Gippsland Health Service [Maffra],48 Kent Street,Maffra,Vic,3860,Australia,03 5147 0100,Public,,No,,-37.961032,146.983487
169,169,Central Gippsland Health Service [Sale],155 Guthridge Parade,Sale,Vic,3850,Australia,03 5143 8600,Public,,Yes,,-38.108408,147.080637
170,170,Central Yorke Peninsula Hospital (Maitland),65 Robert Street,Maitland,SA,5573,Australia,08 8862 2626,Public,,No,,-34.370494,137.673947
171,171,Centre for Digestive Diseases,"Level 1, 229 Great North Road",Five Dock,NSW,2046,Australia,02 9713 4011,Private,,No,,-33.865117,151.130092
172,172,Cessnock Hospital,24 View Street,Cessnock,NSW,2325,Australia,02 4991 0555,Public,,Yes,,-32.827754,151.348396
173,173,Charleville Hospital,72 King Street,Charleville,Qld,4470,Australia,07 4650 5000,Public,,No,,-26.410455,146.239228
174,174,Charters Towers Hospital,137-139 Gill Street,Charters Towers,Qld,4820,Australia,07 4787 0333,Public,,No,,-20.076167,146.264097
175,175,Charters Towers Rehabilitation Unit,35 Gladstone Road,Charters Towers,Qld,4820,Australia,07 4787 5200,Public,,No,,-20.076801,146.280459
176,176,Chatswood Private Hospital,"Suite 1, 38B Albert Avenue",Chatswood,NSW,2067,Australia,02 9413 4822,Private,,No,,-33.797612,151.185691
177,177,Cherbourg Hospital,Fisher Street,Cherbourg,Qld,4605,Australia,07 4169 8800,Public,,No,,-26.291519,151.956324
178,178,Chermside Day Hospital,1/956 Gympie Road,Chermside,Qld,4032,Australia,07 3120 3444,Private,,No,,-27.381971,153.029423
179,179,Chesterville Day Hospital,28 Chesterville Road,Cheltenham,Vic,3192,Australia,03 9585 3777,Private,,No,,-37.96046,145.0568
180,180,Childers Hospital,44 Broadhurst Street,Childers,Qld,4660,Australia,07 4192 1133,Public,,No,,-25.239416,152.273286
181,181,Chinchilla Hospital,Slessar Street,Chinchilla,Qld,4413,Australia,07 4662 8888,Public,,No,,-26.741337,150.634939
182,182,Chris OíBrien Lifehouse,119-143 Missenden Road,Camperdown,NSW,2050,Australia,02 2851 4000,Private,,No,,-33.890577,151.182234
183,183,Clare Hospital,47 Farrell Flat Road,Clare,SA,5453,Australia,08 8842 6500,Public,,No,,-33.829588,138.614416
184,184,Clermont Hospital,Francis Street,Clermont,Qld,4721,Australia,07 4983 4000,Public,,No,,-22.826219,147.632174
185,185,Cleve District Hospital and Aged Care,North Terrace,Cleve,SA,5640,Australia,08 8628 2665,Public,,No,,-33.697779,136.494162
186,186,Cloncurry Hospital,1 Musgrave Street,Cloncurry,Qld,4824,Australia,07 4742 4500,Public,,No,,-20.704166,140.527571
187,187,Cobar Health Service,Lerida Road,Cobar,NSW,2835,Australia,02 6830 2111,Public,,Yes,,-31.509026,145.825266
188,188,Cobram District Hospital,24-32 Broadway Street,Cobram,Vic,3644,Australia,03 5871 0777,Public,,No,,-35.916273,145.651029
189,189,Coffs Day Hospital,69 Albany Street,Coffs Harbour,NSW,2450,Australia,02 6600 1000,Private,,No,,-30.300233,153.115865
190,190,Coffs Harbour Hospital,345 Pacific Highway,Coffs Harbour,NSW,2450,Australia,02 6656 7000,Public,,Yes,,-30.317579,153.093667
191,191,Cohuna District Hospital,144-158 King George Street,Cohuna,Vic,3568,Australia,03 5456 5300,Public,,No,,-35.800063,144.214911
192,192,Colac Area Health,2-28 Connor Street,Colac,Vic,3250,Australia,03 5232 5100,Public,,No,,-38.341201,143.582854
193,193,Coledale Hospital,636 Lawrence Hargrave Drive,Coledale,NSW,2515,Australia,02 4267 0111,Public,,No,,-34.283797,150.950796
194,194,Colin Street Day Hospital,51 Colin Street,West Perth,WA,6005,Australia,08 9321 4256,Private,,No,,-31.949358,115.841569
195,195,Collarenebri Multi Purpose Service,Walgett Street,Collarenebri,NSW,2833,Australia,02 6756 4800,Public,,Yes,,-29.544889,148.581901
196,196,Collie Hospital,Corner of Steere and Deakin Streets,Collie,WA,6225,Australia,08 9735 1333,Public,,No,,-33.351403,116.162223
197,197,Collinsville Hospital,Garrick Street,Collinsville,Qld,4804,Australia,07 4785 4777,Public,,No,,-20.546108,147.838146
198,198,Concord Hospital,Hospital Road,Concord,NSW,2139,Australia,02 9767 5000,Public,,Yes,,-33.837288,151.092664
199,199,Condobolin Health Service,Madline Street,Condobolin,NSW,2877,Australia,02 6890 1500,Public,,Yes,,-33.082332,147.154161
